Engine 1 speed:4.31455, engine 2 speed: 4.66268, engine 3 speed: 4.50874, engine 4 speed: 4.51403
Engine 1 speed:4.31967, engine 2 speed: 4.60967, engine 3 speed: 4.50314, engine 4 speed: 4.56751
Engine 1 speed:4.41738, engine 2 speed: 4.66021, engine 3 speed: 4.42073, engine 4 speed: 4.50168
Engine 1 speed:4.39941, engine 2 speed: 4.5767, engine 3 speed: 4.43078, engine 4 speed: 4.59312
Engine 1 speed:4.36355, engine 2 speed: 4.61901, engine 3 speed: 4.44854, engine 4 speed: 4.5689
Engine 1 speed:4.39372, engine 2 speed: 4.65513, engine 3 speed: 4.40938, engine 4 speed: 4.54177
Engine 1 speed:4.27562, engine 2 speed: 4.61266, engine 3 speed: 4.51708, engine 4 speed: 4.59464
Engine 1 speed:4.32165, engine 2 speed: 4.66032, engine 3 speed: 4.46863, engine 4 speed: 4.5494
Engine 1 speed:4.35161, engine 2 speed: 4.69456, engine 3 speed: 4.44305, engine 4 speed: 4.51078
Engine 1 speed:4.28759, engine 2 speed: 4.60159, engine 3 speed: 4.50392, engine 4 speed: 4.6069
Engine 1 speed:4.35419, engine 2 speed: 4.63277, engine 3 speed: 4.43413, engine 4 speed: 4.57891
Engine 1 speed:4.38293, engine 2 speed: 4.68949, engine 3 speed: 4.40489, engine 4 speed: 4.52269
Engine 1 speed:4.30864, engine 2 speed: 4.59924, engine 3 speed: 4.47109, engine 4 speed: 4.62103
Engine 1 speed:4.36256, engine 2 speed: 4.64772, engine 3 speed: 4.41579, engine 4 speed: 4.57394
Engine 1 speed:4.26948, engine 2 speed: 4.68195, engine 3 speed: 4.50481, engine 4 speed: 4.54376
Engine 1 speed:4.29607, engine 2 speed: 4.65078, engine 3 speed: 4.47643, engine 4 speed: 4.57672
Engine 1 speed:4.29478, engine 2 speed: 4.69669, engine 3 speed: 4.46437, engine 4 speed: 4.54417
Engine 1 speed:4.30293, engine 2 speed: 4.66568, engine 3 speed: 4.44914, engine 4 speed: 4.58224
Engine 1 speed:4.34064, engine 2 speed: 4.71875, engine 3 speed: 4.41515, engine 4 speed: 4.52546
Engine 1 speed:4.39221, engine 2 speed: 4.59956, engine 3 speed: 4.34452, engine 4 speed: 4.66371
Engine 1 speed:4.37628, engine 2 speed: 4.63659, engine 3 speed: 4.36629, engine 4 speed: 4.62084
Engine 1 speed:4.38466, engine 2 speed: 4.63879, engine 3 speed: 4.34647, engine 4 speed: 4.63008
Engine 1 speed:4.33285, engine 2 speed: 4.67229, engine 3 speed: 4.37855, engine 4 speed: 4.6163
Engine 1 speed:4.37768, engine 2 speed: 4.68136, engine 3 speed: 4.33167, engine 4 speed: 4.6093
Engine 1 speed:4.23422, engine 2 speed: 4.67217, engine 3 speed: 4.48808, engine 4 speed: 4.60553
Engine 1 speed:4.41943, engine 2 speed: 4.63153, engine 3 speed: 4.30164, engine 4 speed: 4.64741
Engine 1 speed:4.47095, engine 2 speed: 4.68977, engine 3 speed: 4.2405, engine 4 speed: 4.59878
Engine 1 speed:4.2392, engine 2 speed: 4.56867, engine 3 speed: 4.47489, engine 4 speed: 4.71724
Engine 1 speed:4.37375, engine 2 speed: 4.69255, engine 3 speed: 4.33472, engine 4 speed: 4.59899
Engine 1 speed:4.33285, engine 2 speed: 4.62775, engine 3 speed: 4.3695, engine 4 speed: 4.6699
Engine 1 speed:4.36162, engine 2 speed: 4.63034, engine 3 speed: 4.32514, engine 4 speed: 4.68291
Engine 1 speed:4.34449, engine 2 speed: 4.64278, engine 3 speed: 4.33878, engine 4 speed: 4.67395
Engine 1 speed:4.34052, engine 2 speed: 4.67741, engine 3 speed: 4.34017, engine 4 speed: 4.64189
Engine 1 speed:4.3595, engine 2 speed: 4.63462, engine 3 speed: 4.32323, engine 4 speed: 4.68264
Engine 1 speed:4.3321, engine 2 speed: 4.6116, engine 3 speed: 4.34175, engine 4 speed: 4.71455
Engine 1 speed:4.36784, engine 2 speed: 4.69063, engine 3 speed: 4.31074, engine 4 speed: 4.63078
Engine 1 speed:4.38731, engine 2 speed: 4.64018, engine 3 speed: 4.28314, engine 4 speed: 4.68937
Engine 1 speed:4.33399, engine 2 speed: 4.67764, engine 3 speed: 4.32262, engine 4 speed: 4.66576
Engine 1 speed:4.30014, engine 2 speed: 4.67671, engine 3 speed: 4.34609, engine 4 speed: 4.67706
Engine 1 speed:4.35061, engine 2 speed: 4.65933, engine 3 speed: 4.29598, engine 4 speed: 4.69408
Engine 1 speed:4.3015, engine 2 speed: 4.63729, engine 3 speed: 4.33403, engine 4 speed: 4.72719
Engine 1 speed:4.35669, engine 2 speed: 4.66445, engine 3 speed: 4.27009, engine 4 speed: 4.70877
Engine 1 speed:4.30926, engine 2 speed: 4.6848, engine 3 speed: 4.30535, engine 4 speed: 4.70059
Engine 1 speed:4.30729, engine 2 speed: 4.6933, engine 3 speed: 4.28997, engine 4 speed: 4.70944
Engine 1 speed:4.3199, engine 2 speed: 4.7152, engine 3 speed: 4.27528, engine 4 speed: 4.68962
Engine 1 speed:4.25208, engine 2 speed: 4.62956, engine 3 speed: 4.33639, engine 4 speed: 4.78197
Engine 1 speed:4.31762, engine 2 speed: 4.75896, engine 3 speed: 4.26165, engine 4 speed: 4.66177
Engine 1 speed:4.1628, engine 2 speed: 4.71875, engine 3 speed: 4.40173, engine 4 speed: 4.71672
Engine 1 speed:4.32588, engine 2 speed: 4.73416, engine 3 speed: 4.23053, engine 4 speed: 4.70943
Engine 1 speed:4.21325, engine 2 speed: 4.81534, engine 3 speed: 4.32922, engine 4 speed: 4.64219
Engine 1 speed:4.29128, engine 2 speed: 4.71501, engine 3 speed: 4.23529, engine 4 speed: 4.75842
Engine 1 speed:4.16759, engine 2 speed: 4.75326, engine 3 speed: 4.37577, engine 4 speed: 4.70337
